Teff 5777.0 logg 4.44 [Fe/H] 0.0 massStar 1.0 xiT 1.0 HeFe 0.0 CO 0.0 AlfFe 0.0 lineThresh -3.0 voigtThresh -3.0 lambda0 5.88e-05 lambda1 5.92e-05 logGamCol 0.5 logKapFudge 0.0 macroV 1.0 rotV 2.0 rotI 90.0 RV 0.0 nInner 2 nOuter 2 ifTiO 1 sampling fineNumber of lines treated with Voigt profiles: 26
Number of wavelength points: 881
wave (nm)    log10(flux) (cgs) 
588.6452   14.7987
588.649   14.7987
588.6561   14.7986
588.6949   14.7975
588.6964   14.7975
588.7123   14.7956
588.7293   14.796
588.7543   14.7975
588.7565   14.7975
588.7707   14.7975
588.793   14.7978
588.8154   14.7977
588.8404   14.7975
588.8657   14.7973
588.877   14.7971
588.9001   14.7965
588.9122   14.7962
588.9357   14.7953
588.9476   14.7949
588.9578   14.7944
588.9789   14.7932
588.9839   14.7929
588.9951   14.7922
588.9989   14.7919
589.0017   14.7917
589.0035   14.7914
589.0084   14.7892
589.0437   14.7833
589.0532   14.7811
589.0581   14.7797
589.0629   14.7781
589.0774   14.7714
589.0855   14.7642
589.0944   14.7541
589.0966   14.7511
589.0995   14.7468
589.1024   14.7422
589.1047   14.7379
589.1098   14.7272
589.1144   14.7171
589.1158   14.7133
589.1202   14.6985
589.1237   14.6844
589.1253   14.6772
589.1271   14.6691
589.1293   14.6585
589.1305   14.6522
589.134   14.6319
589.1356   14.6211
589.1374   14.6072
589.1409   14.5745
589.1427   14.5505
589.1443   14.5203
589.146   14.479
589.1477   14.4224
589.1505   14.3186
589.1536   14.2136
589.1573   14.1493
589.1604   14.1471
589.1621   14.1725
589.1634   14.2014
589.1662   14.2918
589.1695   14.4191
589.1711   14.471
589.1725   14.5094
589.174   14.5389
589.1756   14.5634
589.1807   14.6127
589.1961   14.6852
589.1988   14.6968
589.2008   14.7048
589.2036   14.7124
589.2051   14.7139
589.2064   14.714
589.2092   14.7097
589.212   14.7073
589.2148   14.7172
589.2176   14.7335
589.2204   14.7439
589.2216   14.7467
589.2232   14.7493
589.2264   14.7549
589.2279   14.7571
589.2392   14.7686
589.2416   14.7701
589.2574   14.7773
589.268   14.7804
589.2696   14.7807
589.2831   14.7824
589.2851   14.7827
589.3061   14.7867
589.3089   14.7866
589.3109   14.7867
589.3122   14.7868
589.3178   14.7873
589.3216   14.7878
589.3355   14.7905
589.3407   14.7913
589.3444   14.7916
589.3495   14.7921
589.3547   14.7924
589.3598   14.7927
589.365   14.7929
589.3702   14.7933
589.3753   14.7937
589.3805   14.794
589.3856   14.7942
589.391   14.7945
589.3928   14.7946
589.3945   14.7947
589.3991   14.7947
589.4201   14.7948
589.4345   14.7848
589.4379   14.782
589.4393   14.7783
589.4421   14.7616
589.4449   14.7192
589.4477   14.6523
589.4505   14.6119
589.4533   14.6394
589.4561   14.7038
589.4589   14.7534
589.4617   14.7745
589.4629   14.7792
589.4665   14.7873
589.4717   14.792
589.4737   14.7924
589.4809   14.7921
589.4872   14.7926
589.4917   14.7936
589.4943   14.7945
589.4969   14.7951
589.4995   14.7955
589.5022   14.7958
589.5048   14.7959
589.5074   14.796
589.51   14.796
589.5127   14.796
589.5172   14.7959
589.5307   14.7956
589.5336   14.7955
589.5564   14.7955
589.5603   14.7954
589.5679   14.795
589.5965   14.7945
589.6018   14.7942
589.6053   14.794
589.6086   14.7938
589.6228   14.7925
589.6594   14.7872
589.6681   14.7856
589.6748   14.7836
589.6772   14.7825
589.6868   14.7764
589.6972   14.7686
589.7132   14.7463
589.7148   14.7429
589.7212   14.7242
589.7334   14.666
589.7401   14.5977
589.7441   14.5109
589.748   14.3737
589.7508   14.2796
589.7558   14.203
589.7597   14.2331
589.7636   14.3487
589.7676   14.4909
589.7715   14.5869
589.7782   14.6601
589.7984   14.7409
589.8368   14.7823
589.8478   14.7857
589.8695   14.7889
589.8751   14.7892
589.8952   14.7927
589.898   14.7931
589.9098   14.7942
589.9369   14.7955
589.9617   14.7963
589.9663   14.7964
589.9754   14.7966
589.9871   14.7969
589.9995   14.7971
590.002   14.7971
590.0311   14.7975
590.0417   14.7976
590.0487   14.7962
590.0604   14.7976
590.0637   14.7973
590.0701   14.7952
590.0754   14.7923
590.0809   14.7889
590.0839   14.7815
590.0869   14.7592
590.0897   14.7192
590.0928   14.6857
590.0958   14.7057
590.0988   14.7506
590.1018   14.7777
590.1048   14.7866
590.1099   14.7943
590.1253   14.7957
590.1317   14.7964
590.1546   14.7982
590.1649   14.7982
590.1904   14.7983
590.2061   14.7983
590.2102   14.7982
590.2167   14.7973
590.2334   14.7984
590.2434   14.7982
590.2712   14.7984
590.2783   14.7984
590.2803   14.7984
590.2859   14.7976
590.2908   14.7967
590.2936   14.7968
590.2964   14.7978
590.2993   14.7982
590.3021   14.7981
590.305   14.7982
590.3078   14.7984
590.3106   14.7984
590.3128   14.7985
590.3161   14.7985
590.3184   14.7985
590.3233   14.7985
590.3264   14.7985
590.333   14.7985
590.3609   14.7985
590.3776   14.7986
590.383   14.7986
590.3871   14.7986
590.3913   14.7986
590.4138   14.7986
590.4296   14.7985
590.4333   14.7985
590.4345   14.7985
590.4374   14.7985
590.4402   14.7984
590.443   14.7983
590.4459   14.7981
590.4487   14.7981
590.4516   14.7981
590.4544   14.7982
590.4573   14.7984
590.4621   14.7986
590.4768   14.7976
590.478   14.7975
590.4831   14.797
590.4861   14.7961
590.4891   14.7925
590.4921   14.7852
590.4951   14.7796
590.4965   14.7802
590.4981   14.7833
590.5011   14.7913
590.5041   14.7954
590.507   14.7966
590.51   14.7976
590.5122   14.798
590.5146   14.798
590.5175   14.7982
590.5276   14.7982
590.5569   14.7986
590.5847   14.7985
590.6126   14.7986
590.619   14.7984
590.6466   14.7986
590.6584   14.7985
590.672   14.7985
590.6883   14.7962
590.6907   14.7965
590.6998   14.7981
590.7062   14.7959
590.7145   14.7891
590.7185   14.7842
590.7222   14.7679
590.7251   14.7334
590.7279   14.6785
590.73   14.6498
590.7336   14.6693
590.7364   14.7213
590.7393   14.7629
590.7421   14.7806
590.7464   14.7901
590.7563   14.7956
590.7606   14.7951
590.77   14.7959
590.7757   14.7974
590.7892   14.7974
590.7911   14.7972
590.7963   14.7965
590.7993   14.7952
590.8022   14.7905
590.8052   14.781
590.8082   14.7735
590.8112   14.7782
590.8142   14.7888
590.8172   14.7941
590.8202   14.7958
590.8253   14.7978
590.8407   14.798
590.8422   14.798
590.8501   14.7977
590.87   14.7986
590.8813   14.7985
590.8848   14.7985
590.8875   14.7985
590.8896   14.7985
590.8925   14.7985
590.8953   14.7984
590.8982   14.7984
590.9006   14.7983
590.9022   14.7983
590.9039   14.7984
590.9067   14.7985
590.9096   14.7985
590.9124   14.7985
590.9173   14.7985
590.9201   14.7985
590.9258   14.7985
590.9319   14.7983
590.9434   14.7985
590.9482   14.7985
590.9598   14.7985
590.9615   14.7985
591.0128   14.7985
591.0182   14.7985
591.0318   14.7985
591.0491   14.7985
591.0707   14.7985
591.1022   14.7985
591.1137   14.7979
591.1301   14.7983
591.1351   14.7971
591.1447   14.7917
591.1496   14.7882
591.1525   14.7794
591.1553   14.7548
591.1581   14.71
591.161   14.6796
591.1638   14.6998
591.1667   14.7457
591.1695   14.775
591.1712   14.7821
591.1773   14.7936
591.1919   14.7959
591.2146   14.7984
591.2198   14.7984
591.2292   14.7984
591.2334   14.7984
591.2729   14.7983
591.3034   14.7984
591.3055   14.7984
591.3164   14.7984
591.3207   14.7984
591.3272   14.7984
591.3738   14.7984
591.3835   14.7984
591.4282   14.7983
591.4813   14.7983
591.4872   14.7983
591.4998   14.7983
591.5092   14.7983
591.5239   14.7983
591.5287   14.7983
591.5316   14.7982
591.5344   14.7982
591.5373   14.798
591.5401   14.7979
591.543   14.798
591.5458   14.7981
591.5487   14.7982
591.5515   14.7982
591.5564   14.7983
591.5657   14.7983
591.5711   14.7983
591.5756   14.7983
591.599   14.7983
591.6089   14.7983
591.6169   14.7983
591.6291   14.7982
591.6521   14.7982
591.6611   14.7982
591.6703   14.7981
591.6766   14.7974
591.6886   14.7981
591.703   14.7958
591.7078   14.7944
591.7106   14.7918
591.7134   14.7832
591.7162   14.7665
591.719   14.7539
591.7218   14.7619
591.7246   14.7804
591.7274   14.7901
591.7298   14.7925
591.735   14.7965
591.7494   14.7953
591.753   14.7967
591.7577   14.797
591.7638   14.7953
591.7682   14.7919
591.7707   14.7901
591.7724   14.7884
591.7769   14.7836
591.7801   14.7682
591.7829   14.7305
591.7858   14.6678
591.7886   14.6287
591.7915   14.6552
591.7943   14.7164
591.7972   14.7611
591.8   14.7789
591.8049   14.7905
591.8196   14.7944
591.8291   14.7957
591.8475   14.798
591.8734   14.7978
591.9006   14.7981
591.9079   14.7976
591.9284   14.7981
591.9306   14.7981
591.9405   14.7981
591.9451   14.7981
592.0016   14.7981
592.0193   14.7981
592.0324   14.7981
592.0675   14.798
592.1173   14.798
592.143   14.798
592.1835   14.798
592.1935   14.798
592.3103   14.7979
592.3463   14.7979
592.3642   14.7979
592.4765   14.7978
592.4969   14.7978
592.5591   14.7978
592.6248   14.7978
592.9866   14.7976
593.0049   14.7976
593.0146   14.7976
593.0821   14.7975
593.1597   14.7975
593.2265   14.7975
593.254   14.7974
593.4188   14.7974
593.5127   14.7973
593.588   14.7973
593.6838   14.7972
593.7335   14.7972
593.945   14.7971
594.1612   14.797
594.3259   14.7969
594.4133   14.7968
594.4591   14.7968
594.5756   14.7967
595.6256   14.7962
601.1368   14.7932
606.6991   14.7901
612.3128   14.7868
617.9785   14.7835
623.6966   14.7801
629.4676   14.7766
635.2919   14.773
641.1702   14.7692
647.1029   14.7653
653.0905   14.7614
659.1334   14.7571
665.2323   14.7529
671.3876   14.7487
677.5999   14.7443
683.8697   14.7398
690.1974   14.7353
696.5838   14.7306
703.0292   14.7258
709.5342   14.721
716.0995   14.716
722.7254   14.711
729.4127   14.7058
736.1619   14.7006
742.9735   14.6953
749.8482   14.6899
756.7865   14.6843
763.7889   14.6787
770.8562   14.6731
777.9888   14.6673
785.1874   14.6614
792.4527   14.6555
799.7852   14.6494
807.1855   14.6433
814.6543   14.6371
822.1922   14.6308
829.7998   14.6244
837.4779   14.618
845.227   14.6115
853.0478   14.6048
860.9409   14.5982
868.9071   14.5914
876.947   14.5846
885.0613   14.5777
893.2507   14.5707
901.5158   14.5636
909.8574   14.5565
918.2762   14.5493
926.7729   14.542
935.3483   14.5347
944.0029   14.5273
952.7377   14.5199
961.5533   14.5124
970.4504   14.5048
979.4299   14.4971
988.4924   14.4894
997.6388   14.4817
1006.8699   14.4739
1016.1863   14.466
1025.589   14.4581
1035.0786   14.4501
1044.6561   14.4421
1054.3222   14.434
1064.0777   14.4259
1073.9235   14.4178
1083.8604   14.4096
1093.8892   14.4013
1104.0109   14.3931
1114.2262   14.3848
1124.536   14.3764
1134.9412   14.368
1145.4426   14.3596
1156.0413   14.3512
1166.738   14.3427
1177.5337   14.3342
1188.4293   14.3257
1199.4257   14.3171
1210.5238   14.3086
1221.7247   14.3
1233.0292   14.2914
1244.4382   14.2828
1255.9529   14.2742
1267.5741   14.2656
1279.3028   14.257
1291.14   14.2483
1303.0868   14.2397
1315.1441   14.231
1327.313   14.2224
1339.5945   14.2137
1351.9896   14.2051
1364.4994   14.1964
1377.125   14.1877
1389.8673   14.179
1402.7276   14.1703
1415.7069   14.1616
1428.8063   14.1528
1442.0269   14.144
1455.3698   14.1351
1468.8361   14.1261
1482.4271   14.1171
1496.1438   14.108
1509.9875   14.125
1523.9592   14.1116
1538.0602   14.0982
1552.2917   14.0847
1566.6549   14.0713
1581.151   14.0578
1595.7812   14.0443
1610.5468   14.0308
1625.449   14.0173
1640.4891   14.0037
1655.6684   13.9901
1670.9881   13.9765
1686.4495   13.9629
1702.0541   13.9493
1717.803   13.9356
1733.6976   13.9219
1749.7393   13.9082
1765.9294   13.8945
1782.2694   13.8808
1798.7605   13.867
1815.4043   13.8532
1832.202   13.8394
1849.1551   13.8256
1866.2652   13.8118
1883.5335   13.7979
1900.9616   13.784
1918.551   13.7702
1936.3031   13.7562
1954.2195   13.7423
1972.3017   13.7284
1990.5512   13.7144
2008.9695   13.7004
2027.5583   13.6864
2046.3191   13.6724
2065.2534   13.6584
2084.363   13.6444
2103.6493   13.6303
2123.1142   13.6162
2142.7591   13.6021
2162.5858   13.588
2182.596   13.5739
2202.7913   13.5597
2223.1735   13.5456
2243.7442   13.5314
2264.5053   13.5172
2285.4585   13.503
2306.6056   13.4888
2327.9484   13.4745
2349.4886   13.4603
2371.2282   13.446
2393.1689   13.4317
2415.3126   13.4175
2437.6612   13.4031
2460.2166   13.3888
2482.9807   13.3745
2505.9555   13.3601
2529.1428   13.3458
2552.5447   13.3314
